GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,FLAG_1,FLAG_2,PRGMS,CONG_DIST,REGION
008609,RABBINICAL COLLEGE OF AMERICA,,226 SUSSEX AVE,MORRISTOWN,NJ,07960,4 yr/Priv,95,         0,         8,13.3,*,FL,94,         1,         6,13.9,*,FL,93,         3,        16,11.1,*,FL,,,F,11,02
005399,MONMOUTH COUNTY VOCATIONAL SCHOOL D,ISTRICT,41 HWY 34 S,COLTS NECK,NJ,07722,1 yr/Pub,95,         7,        54,13,,FL,94,        14,        87,16.1,,FL,93,         6,        31,19.4,,FL,,,F,12,02
002596,ATLANTIC COMMUNITY COLLEGE,,5100 BLACK HORSE PIKE,MAYS LANDING,NJ,08330,2 yr/Pub,95,        55,       426,12.9,,FL,94,        76,       404,18.8,,FL,93,        64,       351,18.2,,FL,,,F,02,02
007107,ESSEX COUNTY COLLEGE,,303 UNIVERSITY AVE,NEWARK,NJ,17102,2 yr/Pub,95,        23,       181,12.7,,FL,94,        46,       235,19.6,,FL,93,        70,       252,27.8,,FL,C,,,10,02
002613,JERSEY CITY STATE COLLEGE,,2039 KENNEDY BOULEVARD,JERSEY CITY,NJ,07305,5 yr/Pub,95,        59,       470,12.6,,FL,94,        60,       379,15.8,,FL,93,        68,       301,22.6,,FL,,,B,,02
005460,SOMERSET COUNTY TECHNICAL INSTITUTE,,NORTH BRIDGE STREET & VOGT DRIVE,BRIDGEWATER,NJ,08807,2 yr/Pub,95,         2,         9,12.5,*,FL,94,         0,         2,0,*,FL,93,         0,         5,0,*,FL,,,F,11,02
010629,PB METHOD OF HAIR DESIGN,,110 MONMOUTH STREET,GLOUCESTER CITY,NJ,08030,1 yr/Prop,95,        22,       176,12.5,,FL,94,        17,        89,19.1,,FL,93,        24,       132,18.2,,FL,,,B,01,02
010903,RIZZIERI INSTITUTE,,6001 W. LINCOLN DRIVE,MARLTON,NJ,08053,1 yr/Prop,95,         6,        49,12.2,,FL,94,        10,        69,14.5,,FL,93,        11,        76,14.5,,FL,,,F,03,02
008404,BROOKDALE COMMUNITY COLLEGE,,765 NEWMAN SPRINGS RD,LINCROFT,NJ,07738,2 yr/Pub,95,        32,       264,12.1,,FL,94,        25,       166,15.1,,FL,93,        35,       147,23.8,,FL,,,F,12,02
007502,BERKELEY COLLEGE,,44 RIFLE CAMP ROAD BOX 440,WEST PATERSON,NJ,07424,2 yr/Prop,95,        89,       751,11.9,,FL,94,        98,      1022,9.6,,FL,93,       105,       689,15.2,,FL,,,B,08,02
012461,LINCOLN TECHNICAL INSTITUTE,,1697 OAK TREE ROAD,EDISON,NJ,08820,2 yr/Prop,95,       147,      1244,11.8,,FL,94,       269,      1745,15.4,,FL,93,       247,      1329,18.6,,FL,,,B,07,02
025237,OCEAN COUNTY VOCATIONAL POST SECOND,ARY DIVISION,137 BEY LEA RD,TOMS RIVER,NJ,08753,1 yr/Pub,95,         8,        68,11.8,,FL,94,         8,        52,15.4,,FL,93,        10,        58,17.2,,FL,,,F,03,02
005461,SALEM COMMUNITY COLLEGE,,460 HOLLYWOOD AVENUE,CARNEYS POINT,NJ,08069,2 yr/Pub,95,         6,        51,11.8,,FL,94,         1,        26,8.3,*,FL,93,         3,        18,12,*,FL,,,F,02,02
