OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
00960700,House of Heavilin Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02200400,Sikeston Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02347400,Moore Career College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02205000,Mr David's School of Hair Design,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02264800,Drake Secretarial College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01090200,Sawyer School of Elizabeth,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01199100,Belzer Yeshiva,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01183000,Berk Trade & Business School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02265200,Global Business Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01192500,Washington Heights Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01284800,Moler Hollywood Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00864900,Paul's Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00493200,Draughons College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02251100,Health Care Training Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00494000,Millerhawkins Business College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02294100,Pazazz Hair School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02579400,Draughons College of Nursing Assistance,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01242600,John's Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00985000,Juante Faire Academy of Hair Design,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01248100,Dolphin Technical Institutes,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01300300,Neilson Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02218300,S.W. School of Business & Technical Careers,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
03009400,SW School of Business & Technical Careers,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
03021500,SW School of Business & Technical Careers,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01224900,Texas Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02276300,Reese's School of Hair Design,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01127400,Vogue Beauty College #1,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01155400,International Renowned Beauty Academy,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01309200,Vogue Beauty College #4,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02190300,Vogue Beauty College #8,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02190200,Vogue Beauty College #12,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01041300,Vogue College School of Hair Design #5,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02264300,Vogue College School of Hair Design #18,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02239100,Central Texas Beauty College #2,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02294500,Flair Beauty Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02071600,Madame Daniel's School of Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02182400,Omni Technical School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02227200,Romar's Lake Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02623400,RTI Technical Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00854300,Atlanta Technical College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01019600,Crandall Junior College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02318600,Georgia Medical Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02284300,Interactive College of Technology,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
03005200,Interactive Learning Systems,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01311600,Meadows College of Business,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01240300,Meadows Business College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02536800,Modern Trennd Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01076500,Phillips Junior College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01113000,Phillips Junior College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00794200,Young Cosmetology College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02346400,Lady Helen's School of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01189600,Academy of Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01280900,Capri School of Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
