OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
002051,Saint Joseph's College,278 White's Bridge Road,Standish,ME,Maine,04084,5263,,Master's Degree or Doctor's Degree,Priv,2003,15,415,3.6,,FL,2002,7,428,1.6,,FL,2001,16,384,4.1,,FL,,F,01,01,1
002054,University of Southern Maine,96 Falmouth Street,Portland,ME,Maine,04104,4864,,Master's Degree or Doctor's Degree,Pub,2003,66,1805,3.6,,FL,2002,83,1848,4.4,,FL,2001,83,1796,4.6,,FL,,B,01,01,1
002040,University of Maine - Farmington,224 Main Street,Farmington,ME,Maine,04938,1990,,Bachelor's Degree,Pub,2003,22,613,3.5,,FL,2002,22,643,3.4,,FL,2001,28,585,4.7,,FL,,F,02,01,1
002043,Husson College,One College Circle,Bangor,ME,Maine,04401,2999,,Master's Degree or Doctor's Degree,Priv,2003,16,455,3.5,,FL,2002,33,448,7.3,,FL,2001,35,469,7.4,,FL,,F,02,01,1
002044,Maine Maritime Academy,Pleasant Street,Castine,ME,Maine,04420,0001,,Master's Degree or Doctor's Degree,Pub,2003,6,170,3.5,,FL,2002,5,168,2.9,,FL,2001,2,158,1.2,,FL,,F,02,01,1
009459,Pierre's School of Cosmetology,319 Marginal Way,Portland,ME,Maine,04101,3348,,Non-Degree 1 Year (900-1799 hours),Prop,2003,7,206,3.3,,DU,2002,6,181,3.3,,DU,2001,13,148,8.7,,DU,,B,01,01,1
002053,University of Maine,168 College Avenue,Orono,ME,Maine,04469,0001,,Master's Degree or Doctor's Degree,Pub,2003,59,2039,2.8,,FL,2002,73,1959,3.7,,FL,2001,84,1888,4.4,,FL,,B,02,01,1
002052,Thomas College,180 West River Road,Waterville,ME,Maine,04901,5097,,Master's Degree or Doctor's Degree,Priv,2003,5,196,2.5,,DU,2002,4,173,2.3,,DL,2001,11,190,5.7,,DL,,B,01,01,1
006305,Central Maine Medical Center,300 Main Street,Lewiston,ME,Maine,04240,4500,,Associate's Degree,Priv,2003,1,53,1.8,,FL,2002,0,55,0,,FL,2001,3,35,8.5,,FL,,F,02,01,1
002038,Bowdoin College,6000 College Station,Brunswick,ME,Maine,04011,8451,,Bachelor's Degree,Priv,2003,4,230,1.7,,FL,2002,4,216,1.8,,FL,2001,2,216,0.9,,FL,,F,01,01,1
011385,College of the Atlantic,105 Eden Street,Bar Harbor,ME,Maine,04609,1105,,Master's Degree or Doctor's Degree,Priv,2003,1,58,1.7,,FL,2002,0,83,0,,FL,2001,1,95,1,,FL,,F,02,01,1
006858,Unity College,90 Quaker Hill Road,Unity,ME,Maine,04988,9502,,Bachelor's Degree,Priv,2003,2,168,1.1,,FL,2002,5,171,2.9,,FL,2001,8,197,4,,FL,,F,02,01,1
002036,Bates College,2 Andrews Road,Lewiston,ME,Maine,04240,6028,,Bachelor's Degree,Priv,2003,2,239,0.8,,FL,2002,1,242,0.4,,FL,2001,2,241,0.8,,FL,,F,02,01,1
002050,University of New England,11 Hills Beach Road,Biddeford,ME,Maine,04005,9599,,Master's Degree or Doctor's Degree,Priv,2003,5,743,0.6,,FL,2002,13,837,1.5,,FL,2001,14,805,1.7,,FL,,F,01,01,1
002039,Colby College,4000 Mayflower Hill Drive,Waterville,ME,Maine,04901,8840,,Bachelor's Degree,Priv,2003,1,244,0.4,,DU,2002,2,213,0.9,,DU,2001,1,398,0.2,,DU,,B,01,01,1
