opeid,name,state,cohort year,prior loss,date
2292200,Nebraska Custom Diesel Drivers Training,NE,1990,0,5/15/1993
794400,Watterson  Colle e,KY,1990,0,5/17/1993
2282200,Skiles University of Hair Desi n,TX,1990,0,10/7/1993
2352600,Temple Academy of Cosmetology,TX,1990,0,10/8/1993
2347400,Moore Career College,MS,1990,0,2/9/1993
767500,Pro Schools,WI,1990,0,3/9/1993
1065600,State Colleqe of Beauty,Ml,1990,0,6/10/1993
1071200,State Colleqe of Beauty,Ml,1990,0,6/10/1993
1103500,Van Nuys Collee of Business,CA,1990,0,6/10/1993
1151200,State Collee of Beauty,Ml,1990,0,6/10/1993
2114400,Kenneth's Colleqe of Hairstylinq,CA,1990,0,6/10/1993
2541700,Coastal College,LA,1990,0,6/10/1993
2224600,Tri-State Cosmetology  Institute,TX,1990,0,10/21/1993
2088200,Jordan College,Ml,1990,0,3/15/1995
2114400,Kenneth's Colleqe of Hairstylinq,CA,1991,1,12/1/1993
2499800,Career Development Institute,AL,1991,1,12/1/1993
2541700,Coastal College,LA,1991,1,12/1/1993
3009400,SW School of Business & Technical  Careers,TX,1991,1,12/1/1993
1065600,State College of Beauty,Ml,1991,1,12/1/1993
1071200,State College of Beauty,Ml,1991,1,12/1/1993
861100,"CUNY, Hostos Community  College",NY,1991,0,12/3/1993
957800,Jon Louis School of Beauty,NY,1991,0,12/3/1993
2216700,Bilinqual Institute,NJ,1991,0,12/3/1993
2536800,Modern Trennd Beauty Colleqe,GA,1991,0,12/3/1993
3025300,Academy for Career Education,NY,1991,0,12/3/1993
3026700,Avanti Hair Tech,FL,1991,0,12/3/1993
2260000,Le Reve School of Cosmetology,FL,1991,0,11/4/1993
2277600,International  Barber & Style Colleqe,TN,1991,0,11/4/1993
2287100,La Belle Beauty School,FL,1991,0,11/4/1993
2533100,International  Business Colleqe,NM,1991,0,11/5/1993
360300,Ranger College,TX,1991,0,10/6/1993
360300,Ranger College,TX,1991,0,10/6/1993
471000,Kansas City Business  College,MO,1991,0,10/6/1993
496700,Durham College of El Paso,TX,1991,0,10/6/1993
520900,Miller Motte Business College,NC,1991,0,10/6/1993
525000,Cotton Boll Technical Institute,AR,1991,0,10/6/1993
549100,KY Tech - Paducah  Area Technology  Center,KY,1991,0,10/6/1993
549300,Madisonville Technical  College,KY,1991,0,10/6/1993
718200,First California Beauty College,CA,1991,0,10/7/1993
794200,Young Cosmetology College,lA,1991,0,10/7/1993
819700,Sooner College of Technology,OK,1991,0,10/7/1993
854300,Atlanta Technical  College,GA,1991,0,10/7/1993
867600,Kentucky Technical  - Green County Area Vocational E,KY,1991,0,10/7/1993
903500,Phillips College of Chicago,IL,1991,0,10/7/1993
920400,Kiamichi Technology Center,OK,1991,0,10/7/1993
922100,Phillips Colleges,MS,1991,0,10/7/1993
948200,Mansfield Business College,TX,1991,0,10/7/1993
965700,Career Beauty School,MO,1991,0,10/7/1993
970800,Eve's College of Hairstyling,OK,1991,0,10/7/1993
973200,Virginia Farrell Beauty School,Ml,1991,0,10/7/1993
973500,Virginia Farrell Beauty School,Ml,1991,0,10/7/1993
985700,Kirkville College of Cosmetology,MO,1991,0,10/7/1993
995800,Hicks Academy of Beauty Culture,VA,1991,0,10/7/1993
1019600,Crandall Junior College,GA,1991,0,10/7/1993
1031400,American Technical  College for Car Train,CA,1991,0,10/7/1993
1047000,Kalamazoo Beauty Academy,Ml,1991,0,10/7/1993
1061000,Cleveland Institute of Technology,OH,1991,0,10/7/1993
1090900,Concorde  Career lnst,TX,1991,0,10/7/1993
1114900,Capital City Business College,AR,1991,0,10/7/1993
1163100,"D-Jay's School of Beauty, Arts & Sciences",LA,1991,0,10/7/1993
1204700,"MTA School, Resident School",PA,1991,0,10/7/1993
1228200,United Academy of Beauty,AZ,1991,0,10/7/1993
1229100,Wright Beauty Academy,Ml,1991,0,10/7/1993
1259100,Marion County Area Technology Center,KY,1991,0,10/7/1993
1261100,Ronnie & Dormans  School of Hair Design,LA,1991,0,10/7/1993
1294000,United Artist Beauty College,CA,1991,0,10/7/1993
1311600,Meadows Colleqe of Business,GA,1991,0,10/7/1993
1318200,Riviera School of Beauty Culture,IL,1991,0,10/7/1993
1320000,Dayton Academy of Hair Desiqn,OH,1991,0,10/7/1993
2051200,San Luis Obispo Beauty College,CA,1991,0,10/7/1993
2057900,Hollywood Institute of Beauty Careers,FL,1991,0,10/7/1993
2059800,Paris Beauty Colleqe,CA,1991,0,10/7/1993
2061700,Wayne's Colleqe of Beauty,CA,1991,0,10/7/1993
2064300,Sierra College of Beauty,CA,1991,0,10/7/1993
2069600,Dean's Westside  Beauty College,CA,1991,0,10/7/1993
