OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date,
1192100,Westchester School of Beauty Culture,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
1231700,Tulare Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1240400,Lexington Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1249200,Aladdin Beauty College #26,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1255500,M.J. Murphy Beauty College of Saginaw,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1272600,Montgomery County Area Technology Center,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
1274300,Benjamin Franklin Career & Technical Center,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1284200,Oxnard College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,na,Lose,,
1287900,Pat Goins Benton Road Beauty School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Request for Adjustment,Lose,0,3/17/1999
1288000,Pat Goins Beauty School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Lose,0,1/13/1999
1300300,Neilson Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1314300,Jon Louis School of Beauty,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2066100,Ohio State College of Barber Styling,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2091200,Elegance International,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2100700,Aladdin Beauty College #8,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2111100,Rich Mountain Community College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2115300,Pinellas Technical Education Centers - St. Petersburg Campus,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2139400,Leon's Institute of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Request for Adjustment,Lose,,
2149900,Normandy Beauty School of Jacksonville,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
2168100,Tri County Career Center/Adult Career Center,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2173200,Learning Institutes for Beauty Sciences,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Request for Adjustment,Lose,0,6/8/1999
2185400,Saint Augustine College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2200100,Bradenton Beauty & Barber Academy,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2208600,Madera Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2218200,Garnet Career Center,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,na,Lose,,
2223900,Drake College of Business,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2224600,Tri-State Cosmetology Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2234000,Cameron College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2239800,Pioneer Career and Technology Center:  A Vocational School District,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2255000,Knoxville Institute of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/13/1999
2265200,Global Business Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2265400,Aladdin Beauty College #21,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2266200,American Professional Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2269300,Stevenson's Academy of Hair,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,na,Lose,,
2276400,International Junior College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,0,6/22/1999
2279200,Dudley Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2281500,Aladdin Beauty College #7,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
2284300,Technology,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2285200,Hair Design School (The),1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2287100,La Belle Beauty School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2291200,Cannella School of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2306800,Platt College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2315400,Northeast Texas Community College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
