OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date
2205600,Palm Beach Beauty & Barber School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2218500,South Texas Vocational Technical Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2234000,Cameron College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2239100,Central Texas Beauty College #2,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2248200,Amarillo College of Hairdressing,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2266200,American Professional Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2266300,Rehberg's Hairstyling Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2269300,Stevenson's Academy of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2281400,Aladdin Beauty College #3,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2281600,Aladdin Beauty College #15,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2284200,New Tyler Barber College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2284300,Interactive College of Technology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2285200,Hair Design School (The),1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2306700,Fort Worth Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2323800,Gaither & Company Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2331300,Interactive Learning Systems,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2351700,Donta School of Beauty Culture,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2353500,Stefans Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2493600,Chattanooga Barber College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2526100,Jenny Lea Academy of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2547200,Professional Hair Design Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2552700,Advance School of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2557400,Star College of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2585300,Pages University of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2599100,Remington College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2612900,Remington College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2613900,Computer Business College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
2623400,RTI Technical  Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
3003800,Anderson County Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
3011200,Domestic Health Care Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
3026700,Avanti Hair Tech,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
3068800,Aladdin Beauty College #28,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/20/1998
1046000,American Baptist Theological Seminary,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/26/1998
1071200,State College of Beauty,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/26/1998
1300300,Neilson Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/26/1998
2340800,Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/26/1998
2508700,Omni Technical School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/26/1998
2527500,Houston Training Schools,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/26/1998
2575800,Avanti Hair Tech,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/26/1998
462100,Ayers Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,3/10/1998
3066900,lntelliTec College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/9/1998
1292200,Broms Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/15/1998
2552400,Academy of Hair Technology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/15/1998
2073400,Carver Career and Technical Education Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/16/1998
2204100,New England Tractor Trailer Training School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,4/16/1998
2342400,Academy of Radio & TV Broadcasting,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/16/1998
2496000,Huntington College of Dental Technology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/16/1998
528000,Tennessee Technology Center Covington,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/20/1998
541500,Cape May County Technical School District,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/20/1998
547200,Louisiana Technical College - Sidney N. Collier Campus,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/20/1998
697300,Canada College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/20/1998
847800,Moler Barber College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/20/1998
1001700,Payne Theological Seminary,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/20/1998
1170300,Penta County Vocational School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/20/1998
1274300,Benjamin Franklin Career & Technical Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2058900,Harvard H Ellis Regional Vocational Technical School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2139400,Leon's Institute of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2218200,Garnet Career Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2291200,Cannella School of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2317600,Academy of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2320800,Magnolia College of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2336900,Alpha Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/21/1998
2346300,US Schools,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/22/1998
2493400,Alexandria Academy of Beauty Culture,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/22/1998
2530700,Sebring Career Schools,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/22/1998
2553100,Associated Technical College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/22/1998
2553500,Associated Technical College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/22/1998
569300,John M Patterson State Technical College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
675600,Louisiana Technical College - Sullivan Campus,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
769300,Shawnee Community College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
1034200,Southern Oklahoma Area Vocational Technical District #20,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
1043900,Southwest Tennessee Community College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
1155300,William R  Moore College of Technology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
1315500,O\E Learning Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
2536700,Bell Mar Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
2609900,SER Business and Technical Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
3026200,Head's West Kentucky Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
3028500,Lawton School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/23/1998
2208600,Madera Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/27/1998
2211900,Cheeks  International Academy of Beauty Culture,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,4/27/1998
2302800,Mississippi College of Beauty Culture,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/27/1998
2363500,Arkansas Continental Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/27/1998
2504500,lnstitucion Chaviano de Mayaguez,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/27/1998
2522900,East Kentucky Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/27/1998
