opeid	name	year	imputed_recipients	imputed_pell_ind
2361100	Itt Technical Institute	1993	544	1
455300	Itt Technical Institute	1994	683	1
732700	Itt Techl Inst	1994	1620	1
732900	Itt Technical Inst-Indianapolis	1994	2317	1
832900	Itt Technical Institute	1994	1123	1
844300	Itt Technical Institute	1994	415	1
908800	Itt Techl Inst	1994	662	1
1062700	Itt Techl Inst	1994	1133	1
1185200	Itt Techl Inst	1994	565	1
2065200	Itt Technical Institute	1994	884	1
2120900	Itt Technical Institute	1994	417	1
2291500	Itt Technical Institute	1994	622	1
2291600	Itt Technical Institute	1994	412	1
2321700	Itt Technical Institute	1994	731	1
2321800	Itt Technical Institute	1994	580	1
2321900	Itt Technical Institute	1994	298	1
2328600	Itt Technical Institute	1994	511	1
2328700	Itt Technical Institute	1994	0	1
2359800	Itt Techl Inst	1994	1095	1
2361000	Itt Technical Institute	1994	687	1
2361100	Itt Technical Institute	1994	533	1
455300	Itt Technical Institute	1995	709	1
732700	Itt Technical Institute	1995	1681	1
732900	Itt Technical Inst-Indianapolis	1995	2404	1
832900	Itt Technical Institute	1995	1165	1
844300	Itt Technical Institute	1995	431	1
908800	Itt Technical Institute	1995	687	1
1062700	Itt Technical Institute	1995	1176	1
1185200	Itt Techical Institute	1995	586	1
2065200	Itt Technical Institute	1995	917	1
2120900	Itt Technical Institute	1995	433	1
2291500	Itt Technical Institute	1995	646	1
2291600	Itt Technical Institute	1995	428	1
2321700	Itt Technical Institute	1995	759	1
2321800	Itt Technical Institute	1995	601	1
2321900	Itt Technical Institute	1995	309	1
2328600	Itt Technical Institute	1995	530	1
2328700	Itt Technical Institute	1995	0	1
2359800	Itt Technical Institute	1995	1137	1
2361000	Itt Technical Institute	1995	713	1
2361100	Itt Technical Institute	1995	553	1
455300	Itt Technical Institute	1996	732	1
732700	Itt Technical Institute	1996	1734	1
732900	Itt Technical Inst-Indianapolis	1996	2480	1
832900	Itt Technical Institute	1996	1202	1
844300	Itt Technical Institute	1996	445	1
908800	Itt Technical Institute	1996	709	1
1062700	Itt Technical Institute	1996	1213	1
1185200	Itt Technical Institute	1996	605	1
2065200	Itt Technical Institute	1996	947	1
2120900	Itt Technical Institute	1996	447	1
2291500	Itt Technical Institute	1996	666	1
2291600	Itt Technical Institute	1996	441	1
2321700	Itt Technical Institute	1996	783	1
2321800	Itt Technical Institute	1996	621	1
2321900	Itt Technical Institute	1996	319	1
2328600	Itt Technical Institute	1996	547	1
2328700	Itt Technical Institute	1996	0	1
2359800	Itt Technical Institute	1996	1173	1
2361000	Itt Technical Institute	1996	736	1
2361100	Itt Technical Institute	1996	571	1
455300	Itt Technical Institute	1997	834	1
732700	Itt Technical Institute	1997	1976	1
732900	Itt Technical Inst-Indianapolis	1997	2827	1
832900	Itt Technical Institute	1997	1370	1
844300	Itt Technical Institute	1997	507	1
908800	Itt Technical Institute	1997	808	1
1062700	Itt Technical Institute	1997	1382	1
1185200	Itt Technical Institute	1997	689	1
2065200	Itt Technical Institute	1997	1079	1
2120900	Itt Technical Institute	1997	509	1
2291500	Itt Technical Institute	1997	760	1
2291600	Itt Technical Institute	1997	503	1
2321700	Itt Technical Institute	1997	892	1
2321800	Itt Technical Institute	1997	707	1
2321900	Itt Technical Institute	1997	364	1
2328600	Itt Technical Institute	1997	623	1
2328700	Itt Technical Institute	1997	0	1
2359800	Itt Technical Institute	1997	1336	1
2361000	Itt Technical Institute	1997	838	1
2361100	Itt Technical Institute	1997	650	1
455300	Itt Technical Institute	1998	908	1
732700	Itt Technical Institute	1998	2153	1
732900	Itt Technical Inst-Indianapolis	1998	3079	1
832900	Itt Technical Institute	1998	1492	1
